상점이름,구독수,파워,개수
일리상점,"스토어찜 9,455",빅파워,"상품개수 5,242"
모챠모챠,"스토어찜 11,623",빅파워,"상품개수 1,655"
핑크무라,"스토어찜 7,958",파워,"상품개수 1,220"
봄나비상점,"스토어찜 1,165",파워,상품개수 988
두근두근문구점,"스토어찜 19,728",빅파워,"상품개수 9,035"
허니 마켓,"스토어찜 1,280",파워,상품개수 794
cherish-mg,"스토어찜 3,383",파워,상품개수 852
워리문구점,스토어찜 480,파워,상품개수 571
달페이퍼,"스토어찜 7,804",빅파워,"상품개수 5,919"
체리벨,"스토어찜 25,941",빅파워,상품개수 932
다꾸랭킹,"스토어찜 5,041",파워,"상품개수 1,746"
로맨틱핑크,"스토어찜 1,556",파워,"상품개수 3,787"
루카랩,"스토어찜 34,988",빅파워,상품개수 484
줄리엣의 편지,"스토어찜 7,079",빅파워,상품개수 429
멜리멜로 melimelo,"스토어찜 5,195",빅파워,"상품개수 2,276"
뽀뽀상점,"스토어찜 7,646",파워,상품개수 517
AROJIN,"스토어찜 13,570",파워,상품개수 108
DANNISHOP,"스토어찜 7,623",빅파워,상품개수 39
다꾸앙,패션의류,판매중단,상품개수 39
별송이 다꾸다꾸,생활/건강,판매중단,상품개수 39
리라트,"스토어찜 13,900",파워,상품개수 53
엘라의일기,"스토어찜 4,809",파워,상품개수 285
HARI MARKET,"스토어찜 3,567",파워,상품개수 56
몽몽문구점,생활/건강,판매중단,상품개수 56
스꾸다꾸,생활/건강,판매중단,상품개수 56
리니문구점,생활/건강,판매중단,상품개수 56
클레비,"스토어찜 1,704",파워,상품개수 72
크림피치 매장,"스토어찜 1,093",파워,상품개수 639
민톤샵,"스토어찜 1,233",파워,상품개수 222
피치리샵,생활/건강,판매중단,상품개수 222
펀엔조이,생활/건강,판매중단,상품개수 222
화미에듀,생활/건강,판매중단,상품개수 222
설렘문방구,디지털/가전,판매중단,상품개수 222
안솝의 취향상점,생활/건강,판매중단,상품개수 222
다꾸리마켓,생활/건강,판매중단,상품개수 222
오즈도로시,생활/건강,판매중단,상품개수 222
하비투유 - 취미를 너에게,생활/건강,판매중단,상품개수 222
귤님,생활/건강,판매중단,상품개수 222
헬캣의 다꾸상자,생활/건강,판매중단,상품개수 222
삶필,생활/건강,판매중단,상품개수 222
MY마이스토어,생활/건강,판매중단,상품개수 222
라임 마켓,생활/건강,판매중단,상품개수 222
핑퐁데이,생활/건강,판매중단,상품개수 222
레트로퓨쳐샵,생활/건강,판매중단,상품개수 222
쿠리제작소,디지털/가전,판매중단,상품개수 222
Dear One,생활/건강,판매중단,상품개수 222
페이퍼앤디,디지털/가전,판매중단,상품개수 222
Waru,생활/건강,판매중단,상품개수 222
굔엘문구점,가구/인테리어,판매중단,상품개수 222
별바다총총,생활/건강,판매중단,상품개수 222
WishToGo,생활/건강,판매중단,상품개수 222
마나 룸,생활/건강,판매중단,상품개수 222
슬꾸다꾸,생활/건강,판매중단,상품개수 222
밍과제리 다꾸상점,생활/건강,판매중단,상품개수 222
보조개상점,생활/건강,판매중단,상품개수 222
킥백 상점,생활/건강,판매중단,상품개수 222
urr,"스토어찜 4,308",파워,상품개수 36
플로라 상점,가구/인테리어,판매중단,상품개수 36
퍼플스푼소품샵,생활/건강,판매중단,상품개수 36
아이손수,생활/건강,판매중단,상품개수 36
언아이 스토어,생활/건강,판매중단,상품개수 36
꼼뭉문구점,생활/건강,판매중단,상품개수 36
디자인달,생활/건강,판매중단,상품개수 36
정비문구,가구/인테리어,판매중단,상품개수 36
주임주임,디지털/가전,판매중단,상품개수 36
츄즈미,생활/건강,판매중단,상품개수 36
사로가게,생활/건강,판매중단,상품개수 36
밀로샵,생활/건강,판매중단,상품개수 36
공감소,디지털/가전,판매중단,상품개수 36
본쥬흐네 x 또리하우스,생활/건강,판매중단,상품개수 36
리틀빈티지,생활/건강,판매중단,상품개수 36
개구락지 다꾸상점,생활/건강,판매중단,상품개수 36
